crop_name,category,growth_days,water_need,soil_type,temp_min,temp_max,ph_min,ph_max,profitability,yield_per_acre,market_demand,image_url
Rice,Cereals & Grains,120,High,Clay Loam,20,35,5.5,6.5,High,5.5,High,"https://source.unsplash.com/400x300/?rice,crop"
Wheat,Cereals & Grains,110,Medium,Loamy,10,25,6.0,7.5,High,3.5,High,"https://source.unsplash.com/400x300/?wheat,field"
Maize,Cereals & Grains,90,Medium,Sandy Loam,18,32,5.8,7.0,High,6.0,High,"https://source.unsplash.com/400x300/?maize,corn"
Barley,Cereals & Grains,85,Low,Loamy,7,22,6.0,7.8,Medium,3.0,Medium,"https://source.unsplash.com/400x300/?barley,grain"
Sorghum,Cereals & Grains,100,Low,Clay,22,38,5.5,7.5,Medium,2.5,Medium,https://source.unsplash.com/400x300/?sorghum
Millet,Cereals & Grains,70,Low,Sandy,25,40,5.5,7.0,Low,2.0,Low,"https://source.unsplash.com/400x300/?millet,grain"
Oats,Cereals & Grains,95,Medium,Loamy,5,20,6.0,7.5,Medium,2.8,Medium,"https://source.unsplash.com/400x300/?oats,cereal"
Rye,Cereals & Grains,100,Low,Sandy Loam,3,20,5.0,7.0,Low,2.5,Low,"https://source.unsplash.com/400x300/?rye,field"
Triticale,Cereals & Grains,105,Medium,Loamy,8,22,5.5,7.5,Medium,3.2,Low,"https://source.unsplash.com/400x300/?triticale,grain"
Teff,Cereals & Grains,60,Low,Clay,15,28,5.0,7.0,Medium,1.5,Medium,"https://source.unsplash.com/400x300/?teff,grain"
Quinoa,Cereals & Grains,90,Low,Sandy Loam,5,25,6.0,8.0,High,2.0,High,https://source.unsplash.com/400x300/?quinoa
Amaranth,Cereals & Grains,75,Low,Sandy,20,35,6.0,7.5,Medium,2.2,Medium,"https://source.unsplash.com/400x300/?amaranth,plant"
Chickpea,Pulses & Legumes,95,Low,Sandy Loam,15,30,5.5,7.0,High,1.5,High,https://source.unsplash.com/400x300/?chickpea
Lentil,Pulses & Legumes,80,Low,Loamy,10,25,6.0,8.0,High,1.2,High,https://source.unsplash.com/400x300/?lentil
